Movie Title,Gross Earnings ($),Release Date,Distributor,Year,Movie Genre,Animated/Live Action,Primary Movie Genre,Rated,imdb Rating,Soundtrack Genre,Primary Soundtrack Genre
Star Wars: Episode VII - The Force Awakens,651967269,Dec 18,Walt Disney Studios Motion Pictures,2015,"Action, Adventure, Sci-Fi",Live Action,Action,PG-13,7.8,classical,classical
Avengers: Age of Ultron,459005868,May 1,Walt Disney Studios Motion Pictures,2015,"Action, Adventure, Sci-Fi",Live Action,Action,PG-13,7.3,Genre not found,instrumental
Inside Out,356461711,Jun 19,Walt Disney Studios Motion Pictures,2015,"Animation, Adventure, Comedy",Animation, Adventure,PG,8.1,indie,indie
Furious 7,353007020,Apr 3,Universal Pictures,2015,"Action, Thriller",Live Action,Action,PG-13,7.1,hip-hop,rap
American Sniper,348797073,Dec 25,Warner Bros.,2015,"Action, Biography, Drama",Live Action,Action,R,7.3,Genre not found,instrumental
Minions,336045770,Jul 10,Universal Pictures,2015,"Animation, Adventure, Comedy",Animation, Adventure,PG,6.4,hip-hop,rap
The Hunger Games: Mockingjay - Part 2,269569121,Nov 20,Lionsgate,2015,"Action, Adventure, Sci-Fi",Live Action,Action,PG-13,6.6,classical,classical
The Martian,225345353,Oct 2,Twentieth Century Fox,2015,"Adventure, Drama, Sci-Fi",Live Action,Adventure,PG-13,8.0,classical,classical
Cinderella,201151353,Mar 13,Walt Disney Studios Motion Pictures,2015,"Adventure, Drama, Family",Live Action,Adventure,PG,6.9,pop,pop
Spectre,197102585,Nov 6,Sony Pictures Releasing,2015,"Action, Adventure, Thriller",Live Action,Action,PG-13,6.8,alternative,alternative
Mission: Impossible - Rogue Nation,195042377,Jul 31,Paramount Pictures,2015,"Action, Adventure, Thriller",Live Action,Action,PG-13,7.4,classical,classical
Pitch Perfect 2,183785415,May 15,Universal Pictures,2015,"Comedy, Music",Live Action,Comedy,PG-13,6.4,electronic,electronic
Ant-Man,180202163,Jul 17,Walt Disney Studios Motion Pictures,2015,"Action, Comedy, Sci-Fi",Live Action,Action,PG-13,7.2,electronic,electronic
Home,177397510,Mar 27,Twentieth Century Fox,2015,"Animation, Adventure, Comedy",Animation, Adventure,PG,6.5,rnb,rap
Hotel Transylvania 2,168471018,Sep 25,Sony Pictures Releasing,2015,"Animation, Adventure, Comedy",Animation, Adventure,PG,6.6,pop,pop
Fifty Shades of Grey,166167230,Feb 13,Universal Pictures,2015,"Drama, Romance, Thriller",Live Action,Drama,R,4.2,electronic,electronic
The SpongeBob Movie: Sponge Out of Water,162994032,Feb 6,Paramount Pictures,2015,"Animation, Adventure, Comedy",Animation, Adventure,PG,6.0,hip hop,rap
Straight Outta Compton,161197785,Aug 14,Universal Pictures,2015,"Biography, Drama, History",Live Action,Biography,R,7.8,hip-hop,rap
San Andreas,155190832,May 29,Warner Bros.,2015,"Action, Adventure, Thriller",Live Action,Action,PG-13,6.1,hip-hop,rap
Mad Max: Fury Road,153636354,May 15,Warner Bros.,2015,"Action, Adventure, Sci-Fi",Live Action,Action,R,8.1,symphonic,classical
Insurgent,130179072,Mar 20,Lionsgate,2015,"Short, Western",Live Action,Short,PG-13,6.2,progressive rock,rock
Kingsman: The Secret Service,128261724,Feb 13,Twentieth Century Fox,2015,"Action, Adventure, Comedy",Live Action,Action,R,7.7,ambient,ambient
The Peanuts Movie,128235584,Nov 6,Twentieth Century Fox,2015,"Animation, Adventure, Comedy",Animation, Adventure,G,7.0,electronic,electronic
Spy,110825712,Jun 5,Twentieth Century Fox,2015,"Action, Comedy",Live Action,Action,R,7.0,k-pop,k-pop
The Good Dinosaur,110716470,Nov 25,Walt Disney Studios Motion Pictures,2015,"Animation, Action, Adventure",Animation, Action,PG,6.7,ambient,ambient
Trainwreck,110212700,Jul 17,Universal Pictures,2015,"Comedy, Drama, Romance",Live Action,Comedy,R,6.2,emo,rock
